category_id,category_name,category_background_url,category_type,category_description,created_at,updated_at
1,Bingsu,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
2,Cakes,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
3,Pastries & Pies,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
4,Breads & Buns,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
5,Chilled & Cold,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
6,Cookies & Biscuits,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
7,Season & Specialist,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
8,Sets,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
9,Frosty,,1,,2025-05-19 02:34:26,2025-05-19 02:34:26
10,Tea,,1,,2025-05-19 02:34:26,2025-05-19 02:34:26
11,Chocolate & Cacao,,1,,2025-05-19 02:34:26,2025-05-19 02:34:26
12,Coffee,,1,,2025-05-19 02:34:26,2025-05-19 02:34:26
13,Topping thêm,,0,,2025-05-19 02:34:26,2025-05-19 02:34:26
