product_name,product_url,website_name,original_category,product_image,product_image_type,product_image_name,product_code,product_description,product_unit_price,product_currency,product_discount_percentage,product_total_orders,product_stock_quantity,product_total_ratings,product_overall_stars
Earl Grey Cloud,https://tljus.com/menus/cakes/earl-grey-cloud,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e6d668e2a79cbb8f4f1f_Earl%20Grey%20Cloud.png,1,,,,0,₫,0.0,0,50,0,0.0
Blueberry Yogurt #3,https://tljus.com/menus/cakes/blueberry-yogurt-3,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e69407c4c2d74c57e7ae_Blueberry(3,1,,,,0,₫,0.0,0,50,0,0.0
Blueberry Yogurt #2,https://tljus.com/menus/cakes/blueberry-yogurt-2,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e674702c5050db738730_Blueberry(2,1,,,,0,₫,0.0,0,50,0,0.0
Strawberry Lychee,https://tljus.com/menus/cakes/strawberry-lychee,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e5aef5c94a91c721ab19_StrawberryLychee.png,1,,,,0,₫,0.0,0,50,0,0.0
Strawberry Gateau,https://tljus.com/menus/cakes/strawberry-gateau,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/6581e567f5c3924368a84e44_Strawberry%20Gateau.png,1,,,,0,₫,0.0,0,50,0,0.0
Cloud Cake #3,https://tljus.com/menus/cakes/cloud-cake-3,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade9_Screenshot%202023-05-15%20at%2012.12.18%20PM.png,1,,,"Cloud cream[heavy cream(milk), whipped cream, sugar],
White cake sheet(whole egg, wheat flour, sugar, egg white,
milk, corn syrup, shortening, margarine, emulsifying agent,
corn starch, baking powder, salt, citric acid, xanthan gum),
Strawberry, Simple syrup(water, sugar, lemon juice), Green
grapes, Red grapes, Blackberry, Blueberry, Raspberry, Glaze,
Chocolate sign board(dark)",0,₫,0.0,0,50,0,0.0
Cloud Cake #2,https://tljus.com/menus/cakes/cloud-cake-2,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade8_Screenshot%202023-05-15%20at%2011.57.36%20AM.png,1,,,"Cloud cream[heavy cream(milk), whipped cream, sugar],
White cake sheet(whole egg, wheat flour, sugar, egg white,
milk, corn syrup, shortening, margarine, emulsifying agent,
corn starch, baking powder, salt, citric acid, xanthan gum),
Strawberry, Red grapes, Simple syrup(water, sugar, lemon
juice), Blackberry, Blueberry, Raspberry, Glaze",0,₫,0.0,0,50,0,0.0
Strawberry Cloud Cake,https://tljus.com/menus/cakes/strawberry-cloud-cake,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade6_Strawberry%20Cloud%20Cake.webp,1,,,"Strawberry cloud cream(heavy cream, whipping cream, sugar, strawberry syrup), Strawberry cake sheet[liquid egg, sugar, wheat flour, butter, strawberry syrup, strawberry powder, emulsifying agent, baking powder, sea salt, food coloring(pink)], Strawberry, Simple syrup (water, sugar, lemon), Red grape, Blueberry, Decorative chocolate, Glaze",0,₫,0.0,0,50,0,0.0
Green Tea Cloud Cake,https://tljus.com/menus/cakes/green-tea-cloud-cake,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade5_Green%20Tea%20Cloud%20Cake.webp,1,,,"Green tea cake sheet(liquid egg, sugar, wheat flour, butter, green tea powder, emulsifying agent, baking powder, sea salt, food color), Cloud cream[heavy cream(milk), whipping cream, sugar], Strawberry, Simple syrup (water, sugar, lemon), Green tea sheet crumb, Blackberry, Green grape, Raspberry, Blueberry, Glaze",0,₫,0.0,0,50,0,0.0
Peach Cream Cake,https://tljus.com/menus/cakes/peach-cream-cake,tljus,cakes,https://cdn.prod.website-files.com/649249d29a20bd6bc3deac48/649249d29a20bd6bc3deade4_Peach%20Cream%20Cake.webp,1,,,"Cream, Whole egg, Whipping cream, Apricot jam, Sugar, Frozen peach, White chocolate, Wheat flour, Water, Milk, Coating chocolate, Yogurt powder, Corn syrup, Shortening, Margarine, Cheese, Emulsifying agent, Corn starch, Baking powder, Peach flavored syrup, Salt, Cake stabilizer, Citric acid, Xanthan gum, Sugar powder",0,₫,0.0,0,50,0,0.0
